;genres;app_name;release_date;tags;specs;price;id;developer
1;['Free to Play', 'Indie', 'RPG', 'Strategy'];Ironbound;2018-01-04;['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration'];['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases'];0.0;643980;Secret Level SRL
7;['Action', 'Adventure', 'Casual', 'Indie', 'RPG'];Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition;2018-01-04;['Action', 'Adventure', 'RPG', 'Indie', 'Casual'];['Single-player', 'Steam Achievements'];10.99;770380;Stegalosaurus Game Development
9;['Casual', 'Indie', 'Simulation'];Planetarium 2 - Zen Odyssey;2018-01-03;['Indie', 'Casual', 'Simulation'];['Single-player'];2.99;765320;Ghulam Jewel
36;['Casual', 'Indie'];Zen of Sudoku;2006-12-14;['Casual', 'Indie', 'Puzzle'];['Single-player'];0.0;4900;Unknown Worlds Entertainment
37;['Casual', 'Indie'];Gumboy - Crazy Adventures™;2006-12-19;['Casual', 'Indie', 'Singleplayer'];['Single-player'];4.99;2520;CINEMAX, s.r.o.
38;['Strategy'];Ghost Master®;2003-08-23;['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack'];['Single-player'];4.99;6200;Sick Puppies
40;['Adventure', 'RPG'];Dreamfall: The Longest Journey;2006-04-17;['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk'];['Single-player'];19.99;6300;Funcom
46;['Action', 'Adventure', 'RPG'];The Longest Journey;2000-11-17;['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person'];['Single-player'];9.99;6310;Funcom
48;['Strategy'];Railroad Tycoon 3;2003-10-23;['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer'];['Single-player', 'Multi-player'];9.99;7610;PopTop
59;['Action'];DOOM II;1994-05-05;"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']";['Single-player', 'Multi-player', 'Steam Cloud'];4.99;2300;id Software
66;['Action'];QUAKE;2007-05-31;"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']";['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud'];4.99;2310;id Software
70;['Strategy'];Warhammer® 40,000: Dawn of War® - Game of the Year Edition;2006-01-01;['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy'];['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud'];12.99;4570;Relic Entertainment
87;['Action'];ARMA: Combat Operations;2007-05-08;['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military'];['Single-player', 'Multi-player', 'Includes level editor'];7.99;2780;Bohemia Interactive
115;['Adventure'];Bone: Out From Boneville;2005-09-15;['Adventure', 'Point & Click'];['Single-player'];9.99;8310;Telltale Games
141;['Strategy'];Sid Meier's Civilization IV: Colonization;2008-09-23;['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical', 'Singleplayer', 'Multiplayer', 'Moddable'];['Single-player', 'Multi-player'];19.99;16810;Firaxis Games
143;['Action', 'Adventure'];LEGO Batman;2008-09-29;['LEGO', 'Action', 'Adventure', 'Batman', 'Local Co-Op', 'Superhero', 'Family Friendly', 'Co-op', 'Comedy', 'Singleplayer', 'Comic Book', 'Funny', 'Third Person', 'Controller', 'Local Multiplayer', 'Multiplayer'];['Single-player', 'Shared/Split Screen', 'Full controller support'];19.99;21000;Traveller's Tales
150;['Action'];Brothers in Arms: Earned in Blood™;2005-10-04;['Action', 'FPS', 'World War II', 'Tactical', 'Military', 'Strategy', 'Singleplayer'];['Single-player'];9.99;19800;Gearbox Software
172;['Action'];Dead Space;2008-10-20;['Horror', 'Action', 'Sci-fi', 'Space', 'Third Person', 'Survival Horror', 'Atmospheric', 'Third-Person Shooter', 'Singleplayer', 'Gore', 'Shooter', 'Aliens', 'Dark', 'Futuristic', 'Story Rich', 'Silent Protagonist', 'Survival', 'Adventure', 'Zombies', 'RPG'];['Single-player', 'Full controller support'];19.99;17470;EA Redwood Shores
176;['Action'];F.E.A.R. 2: Project Origin;2009-02-12;['Horror', 'FPS', 'Action', 'Singleplayer', 'Shooter', 'Bullet Time', 'Gore', 'Multiplayer', 'Psychological Horror', 'First-Person', 'Atmospheric', 'Sci-fi', 'Classic', 'Story Rich'];['Single-player', 'Multi-player'];14.99;16450;Monolith
185;['Action'];Unreal Tournament 3 Black;2007-11-19;['FPS', 'Action', 'Multiplayer', 'Arena Shooter', 'Shooter', 'Sci-fi', 'Fast-Paced', 'First-Person', 'Competitive', 'Gore', 'Co-op', 'Great Soundtrack', 'Classic', 'Singleplayer', 'Team-Based', 'Adventure', 'Atmospheric', 'Moddable', 'Split Screen', 'Futuristic'];['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements'];19.99;13210;Epic Games, Inc.
187;['Indie', 'Simulation'];The Graveyard;2008-03-21;['Walking Simulator', 'Indie', 'Short', 'Female Protagonist', 'Atmospheric', 'Simulation', 'Psychological', 'Memes', 'Horror', 'Singleplayer', 'Anime'];['Single-player'];4.99;27020;Tale of Tales
189;['Action', 'Indie'];The Maw;2009-03-09;['Indie', 'Platformer', 'Cute', 'Action', 'Puzzle', 'Casual', 'Comedy', '3D Platformer'];['Single-player', 'Steam Achievements'];9.99;26000;Twisted Pixel Games
193;['Indie'];Space Giraffe;2009-03-19;['Psychedelic', 'Arcade', 'Score Attack', 'Abstract'];['Single-player'];9.99;27800;Llamasoft LTD
196;['RPG', 'Massively Multiplayer'];Guild Wars Nightfall;2006-10-27;['RPG', 'Massively Multiplayer'];['Multi-player', 'MMO'];19.99;29580;ArenaNet®
201;['Casual'];Samantha Swift and the Golden Touch;2009-04-29;['Casual', 'Hidden Object', 'Adventure', 'Female Protagonist'];['Single-player'];9.99;16060;MumboJumbo
222;['Strategy'];BC Kings;2008-09-15;['Strategy', 'RTS'];['Single-player', 'Multi-player'];4.99;12460;Mascot Entertainment
