;funny;posted;item_id;recommend;user_id;sentiment_analysis
9;;15/10/2014;263360;True;evcentric;1
13;;28/07/2012;20920;True;doctr;2
26;;25/11/2013;220;True;Wackky;1
28;;;730;True;MeaTCompany;1
31;;;252950;True;76561198156664158;2
34;;25/12/2013;4000;True;WeiEDKrSat;1
50;;28/12/2014;211820;True;PPanther;2
56;;;242130;True;starkillershadow553;0
61;;20/03/2013;33930;True;76561198048353577;2
66;;21/08/2015;208090;True;76561198070565427;1
67;1 person found this review funny;17/10/2014;242700;True;76561198070565427;1
68;;27/06/2014;570;False;76561198070565427;1
81;;21/05/2015;730;True;76561198061252210;2
83;;12/05/2014;440;True;boydeer;1
90;;27/05/2012;620;True;76561198028895010;2
96;;04/10/2015;322330;True;diego9031;1
102;;11/02/2012;440;True;jarrodtrim;2
105;;14/10/2015;1840;True;76561198079770573;1
106;;27/10/2013;440;True;76561198087586464;2
114;;09/11/2015;248570;True;76561198070194565;1
120;;08/09/2014;221910;True;UTNerd24;1
131;;28/06/2014;251990;True;kube134;2
136;;;550;True;MainScout;1
137;;19/11/2015;377160;True;yookobz;2
146;;15/01/2014;440;True;76561198087407319;1
148;2 people found this review funny;;294100;True;sad-commie;0
149;;09/07/2014;212070;True;sad-commie;0
150;;13/03/2014;264140;True;sad-commie;1
152;;21/07/2015;319630;True;76561198030567998;2
157;;;440;True;76561198010674657;0
160;;13/03/2015;236390;True;Coldaniel;2
163;;10/10/2015;391540;True;Berserklejerker;2
168;;24/12/2015;440;True;possessioniskey;2
184;1 person found this review funny;04/12/2013;210770;True;Nozomikat;1
185;12 people found this review funny;10/11/2015;351640;True;xfluttersx;2
197;1 person found this review funny;11/11/2015;440;True;76561198097762318;2
207;;21/07/2014;250180;True;Xx-Woods;1
209;;08/02/2014;17520;True;Xx-Woods;1
211;2 people found this review funny;06/07/2015;320760;True;kevinator23;0
212;;06/09/2015;8850;True;kevinator23;2
216;;25/01/2015;219740;True;kevinator23;2
228;;14/09/2015;440;True;76561198102410011;1
233;;13/05/2015;730;True;Bluezap1;1
235;;21/12/2015;413850;True;Bluezap1;1
243;;01/06/2014;248570;True;AVATAR715;1
245;;16/02/2014;4000;True;AVATAR715;2
250;;16/12/2014;240;True;76561198078752187;1
256;;01/03/2015;264200;True;76561197994493402;2
259;;20/11/2015;383080;True;76561198065656175;2
262;;17/06/2014;243870;True;97396295;2
270;;01/07/2015;222880;True;76561198126640317;2
271;;15/06/2015;730;True;76561198126640317;2
277;;26/12/2013;550;True;DemonicWolvz;2
293;;30/09/2014;440;True;ohnospaghet;0
295;;;369200;True;ohnospaghet;1
299;4 people found this review funny;01/09/2015;287700;True;2768820078;1
305;;12/06/2015;222420;False;2768820078;1
313;;18/03/2014;47410;True;2d4nk4m3;1
323;;13/09/2015;570;True;2xDelorean;2
337;7 people found this review funny;;437701;False;76561198088944293;1
342;;12/02/2015;6060;True;76561198092540221;2
351;;27/12/2013;8930;True;relesprit;2
354;;11/01/2014;224260;True;WitchHunter4542;1
359;;;570;True;benedictcuminherbatch;1
362;;26/05/2015;221100;True;76561198043458582;2
365;;30/12/2014;218620;True;smashiroshh;2
374;;30/11/2014;234190;True;1337lolroflmao;2
376;;28/12/2013;33900;True;1337lolroflmao;2
380;;04/10/2014;570;False;76561198060039459;0
387;;31/05/2014;203750;True;76561198065593074;2
394;;;365590;False;76561198074935997;1
399;;;252490;False;76561198074935997;2
404;;;433340;True;76561198016602703;2
406;;04/04/2015;4000;True;76561198087010391;2
410;;12/10/2015;352460;True;ReMiXOfficalSteam;2
413;;10/05/2014;252490;True;76561198084390807;2
414;16 people found this review funny;02/08/2015;304050;False;Mastic;0
417;1 person found this review funny;;550;True;Mastic;2
425;1 person found this review funny;08/05/2014;252490;True;tarjla;2
426;;21/11/2013;4000;True;tarjla;2
434;;;227940;True;readingthis4noobs;2
438;1 person found this review funny;;304410;True;redsncrimson;2
441;;26/12/2013;211820;True;redsncrimson;2
448;;27/02/2014;105600;True;H1DD3NT3RR0R;2
460;;15/09/2013;12900;True;pikawuu2;2
461;;04/11/2014;301520;True;Sammeh00;2
464;;21/08/2014;107410;True;Michaelele;2
465;;16/07/2014;304930;True;Michaelele;2
480;;01/01/2014;243120;True;jjas01;2
487;1 person found this review funny;;427820;False;jjas01;0
508;;11/04/2015;570;True;76561198103671881;2
517;;16/12/2010;1250;True;GamerFag;2
519;;15/10/2015;349700;True;EHS-R3AP3R;2
523;;05/03/2014;213670;True;chidori_647;2
525;;02/12/2013;8190;True;chidori_647;2
526;;28/11/2013;215470;False;chidori_647;0
527;;11/09/2014;730;True;76561198092227136;2
536;6 people found this review funny;;211820;True;ulramite;1
537;;08/03/2014;226700;False;-GM-Dragon;0
545;;;440;True;I_DID_911_JUST_SAYING;2
549;2 people found this review funny;;91310;False;750805;0
555;;04/01/2014;24240;True;76561198054465623;2
557;;21/02/2014;250600;True;76561198054465623;0
566;;26/11/2015;221100;False;LightfootSword7;2
569;1 person found this review funny;28/08/2014;730;True;SALTTHEW0UND;2
577;;24/12/2013;9180;False;76561198074644990;0
578;2 people found this review funny;11/12/2015;730;True;76561198064304806;1
589;1 person found this review funny;01/05/2015;271590;True;acorn13;2
593;;05/01/2014;233250;True;mrfunkyjunkie;2
620;1 person found this review funny;21/03/2015;104900;True;Agronoth;2
633;;20/12/2013;259080;True;NaruseAiria;2
637;;;730;True;76561198187212131;2
640;;25/04/2014;4000;True;Alex680;2
649;2 people found this review funny;30/12/2015;12120;True;maxpaynepillkiller;1
656;;01/02/2014;208090;True;76561198095481910;0
657;;;730;True;76561198164545985;2
660;1 person found this review funny;26/01/2015;226700;True;76561198075935236;1
663;;;9900;True;AlpacaRevolution;2
667;2 people found this review funny;;381210;True;76561198071952798;0
669;;;218620;True;76561198071952798;2
672;;21/03/2014;271290;True;76561198016753953;2
680;;12/03/2014;220240;True;lol_ursuchanoob;0
681;;23/01/2014;17300;True;lol_ursuchanoob;2
686;;19/07/2012;24240;True;AMV72;1
688;;;224540;False;76561198085956238;1
692;;26/05/2015;730;True;76561198132540690;2
694;2 people found this review funny;04/07/2015;113020;True;711armageddoncarmageddon;1
698;1 person found this review funny;31/07/2015;22230;True;Andraison;1
700;;30/12/2013;550;True;76561198069560699;2
705;;08/05/2014;200260;True;76561198099625419;1
726;;03/02/2014;221640;True;ApexNZ;2
728;;09/02/2014;49520;True;ApexNZ;0
731;;09/06/2014;113020;False;76561198039441595;1
751;;17/10/2015;105600;True;XABLAUziitu;1
758;;;8930;True;76561198040530605;2
759;;;330830;True;76561198040530605;2
767;;28/01/2012;8190;True;76561197974500703;2
776;;16/12/2013;226620;True;76561198047185525;1
792;;;230410;True;armouredmarshmallow;2
804;;09/01/2014;2450;False;76561198041877981;1
806;;;220200;True;ARZARNAR;1
807;7 people found this review funny;;47780;True;darkmassieh;2
810;;09/05/2015;107410;True;darkmassieh;2
820;;;253030;True;asianturtlefrenzy;2
845;;;440;True;assassin_warman;2
852;;04/04/2015;346900;True;Astrelt;2
872;;01/01/2015;105600;True;Aurora99;2
875;1 person found this review funny;15/02/2015;282440;False;Aurora99;1
891;;;223750;True;auzmoz;2
895;;;296240;True;auzmoz;2
900;;26/05/2014;20920;True;76561198064150679;1
902;;08/06/2015;346110;True;76561198110293299;2
912;1 person found this review funny;25/05/2015;236390;True;de_triggered;1
924;;14/12/2015;287700;False;BAW_Killer;0
934;1 person found this review funny;;233270;True;potatoskins;1
935;;19/12/2015;230410;True;crispymemesmantheyremyfavourite;2
952;;03/07/2014;440;True;Gborges;1
955;;31/12/2015;218230;True;lukeyturley;2
956;1 person found this review funny;;205890;True;PolygonCloud;2
957;;27/06/2015;570;True;76561198095142204;0
986;;;236390;True;76561197988934555;1
988;;15/12/2015;295110;True;76561197988934555;2
991;;06/05/2015;328220;True;Infixation;2
995;;01/12/2013;203160;True;Infixation;2
996;;01/12/2013;39120;True;Infixation;2
1000;;16/08/2014;730;True;JuanManSnipez;2
1002;;20/12/2013;105600;True;Ben_Andy;2
1010;;;386360;True;76561198190487725;2
1012;;28/07/2014;304930;True;Bhappiikhat;2
1015;6 people found this review funny;15/01/2015;295110;True;BITCHPLESE;0
1022;;;364360;True;76561198007342405;0
1035;1 person found this review funny;28/05/2015;288470;True;mavros88;1
1037;;;730;True;mavros88;2
1039;;;323370;True;mavros88;2
1047;1 person found this review funny;;236390;True;76561198056980314;2
1049;1 person found this review funny;10/03/2015;440;True;76561198077586769;2
1050;;21/06/2015;300570;True;bitmat;2
1052;;09/12/2012;220240;True;bitmat;1
1054;;30/12/2013;238260;True;76561198028483487;1
1056;;17/07/2014;570;True;Ghoster09;2
1069;;20/05/2014;251570;True;76561198057521157;2
1075;2 people found this review funny;;318420;True;76561198057389499;2
1078;;13/09/2014;440;True;76561198057389499;2
1085;;06/01/2014;57300;True;Bluegills;1
1090;;;449710;True;76561197970931849;2
1093;;02/10/2015;244050;False;rrbr;0
1106;;02/05/2014;242720;False;bobseagull;2
1121;;10/03/2015;318430;True;ilyjoepoe;2
1125;;18/07/2014;230410;True;76561198027225504;2
1131;718 people found this review funny;;334230;True;dicksoutforboromir;0
1150;;01/05/2014;230840;True;saint556;2
1151;;10/04/2014;263760;True;saint556;2
1155;;16/10/2015;730;True;metiqu;1
1164;;28/11/2013;440;True;brocky0405;2
1176;;18/12/2015;730;True;Br0wni3;1
1198;;;311690;True;76561198074561346;0
1201;;16/05/2015;266840;True;76561198074561346;2
1207;;29/12/2015;393420;True;76561198094074209;1
1209;;;368360;True;BurningCassette;2
1211;;27/12/2015;237870;True;busternut;2
1224;;;440;True;897w463824638109276;2
1240;;12/01/2014;211820;True;1122305938;1
1247;;24/06/2014;220200;True;Cabey64;2
1251;;;346110;False;76561198082278758;1
1258;;23/05/2015;207140;True;Punixa;1
1263;;17/01/2015;302590;True;76561198044402508;2
